FirstName,LastName,Username,Email,Department,Title
John,Smith,jsmith,john.smith@contoso.com,Finance,Financial Analyst
Sarah,Johnson,sjohnson,sarah.johnson@contoso.com,HR,HR Manager
Michael,Williams,mwilliams,michael.williams@contoso.com,IT,Systems Administrator
Jennifer,Brown,jbrown,jennifer.brown@contoso.com,Sales,Sales Representative
Robert,Davis,rdavis,robert.davis@contoso.com,Finance,Controller
Lisa,Miller,lmiller,lisa.miller@contoso.com,Marketing,Marketing Manager
David,Wilson,dwilson,david.wilson@contoso.com,IT,Network Administrator
Karen,Moore,kmoore,karen.moore@contoso.com,Operations,Operations Manager
James,Taylor,jtaylor,james.taylor@contoso.com,Sales,Account Executive
Patricia,Anderson,panderson,patricia.anderson@contoso.com,HR,Recruiter
